# x z lx ly lz
4 15.5 -0.0101958 0.152715 -0.0372623
4 16 -0.0107389 0.148554 -0.040632
4 16.5 -0.0105412 0.144588 -0.0444598
4 17 -0.0112817 0.140218 -0.0486926
4 17.5 -0.0122748 0.136045 -0.0534311
4 18 -0.0128059 0.13197 -0.0585968
4 18.5 -0.0130104 0.127268 -0.0641712
4 19 -0.0140186 0.121907 -0.0701994
4 19.5 -0.0143972 0.117021 -0.0766139
4 20 -0.0149648 0.112478 -0.0844214
4 20.5 -0.0142856 0.107151 -0.0932584
4 21 -0.015143 0.101697 -0.101764
4 21.5 -0.0158825 0.0969978 -0.110741
4 22 -0.0161081 0.0916008 -0.120568
4 22.5 -0.0165639 0.0839435 -0.133455
4 23 -0.0161315 0.0788484 -0.144815
4 23.5 -0.0154708 0.0737104 -0.158319
4 24 -0.0162884 0.0693969 -0.172517
4 24.5 -0.0157375 0.0632821 -0.188019
4 25 -0.0152507 0.0556758 -0.204962
4 25.5 -0.0157492 0.049324 -0.223615
4 26 -0.0157236 0.0440213 -0.243624
4 26.5 -0.015718 0.0377378 -0.265476
4 27 -0.0142425 0.0319455 -0.286857
4 27.5 -0.0132109 0.0258803 -0.311882
4 28 -0.0128963 0.0194928 -0.338396
4 28.5 -0.0113804 0.013977 -0.366425
4 29 -0.0103776 0.00763277 -0.397543
4 29.5 -0.0100875 0.00258357 -0.429107
4 30 -0.0104323 -0.00050518 -0.446889
4.5 0 0.000778537 0.242163 -0.000100155
